id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Type	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize	Features
168852263	RENTAL_RESIDENTIAL	Available from 1 June! 24 Badgery St Macquarie convinient location! 3 BR 1 Bath	$700 per week	2014-01-03 01:05:41		24 Badgery Street	Macquarie	ACT	2614	-35.2517439	149.06501	HOUSE	38035	PrivateLister	Private Lister		3	1	2		900.8	['Central Heating', 'Dining Room', 'Enclosed Backyard', 'Pets Allowed', 'Separate Toilet']
168852603	RENTAL_RESIDENTIAL	Near new 3 bedroom residence in Chiefly available from 1 February 2020.	$625 per week	2014-01-03 06:31:29		(no street name provided)	Stirling	ACT	2611	-35.3533661	149.0500908	HOUSE	67065	PrivateLister	Private Lister		3	2	3	6	915.3	['Air Conditioning', 'Allocated Car Spaces', 'Central Heating', 'Enclosed Backyard', 'New Construction', 'Reverse Cycle Heating', 'Separate Toilet']
168860702	RENTAL_RESIDENTIAL	Excellent  Apartment in Sky Plaza	$480 per week	2014-01-10 04:50:00		8/60 Callam Street	Phillip	ACT	2606	-35.34520566	149.08844192	APARTMENT	208355	PrivateLister	Private Lister			1	1	5	8023.1	['Air Conditioning', 'Alarm', 'Ceiling Fans', 'Dining Room', 'Electric Heating', 'Fully Furnished', 'Separate Toilet']
168875275	RENTAL_RESIDENTIAL		$680 per week	2014-01-21 07:25:30		(no street name provided)	Dickson	ACT	2602	-35.2522281	149.1460457	HOUSE	67065	PrivateLister	Private Lister		3	1	1		596.4	['Allocated Car Space', 'Electric Heating']
168881532	RENTAL_RESIDENTIAL		$500 per week	2014-01-24 07:21:02		(no street name provided)	Palmerston	ACT	2913	-35.1944647	149.11941929	OTHER	31315	PrivateLister	Private Lister			0	1		10681.4	['Central Heating', 'Separate Toilet']
168888312	RENTAL_RESIDENTIAL	Great self contained flat in Curtin	$330 per week	2014-01-30 11:17:43		2/102 Carruthers Street	Curtin	ACT	2605	-35.32503249	149.083182	UNIT	34425	PrivateLister	Private Lister		1	1	1		810.1	['Allocated Car Space', 'Partially Furnished', 'Self-contained Flat', 'Separate Toilet']
168890572	RENTAL_RESIDENTIAL		By Negotiation	2014-02-02 03:50:34		(no street name provided)	Bruce	ACT	2617	-35.24535542	149.09163136	UNIT	117905	PrivateLister	Private Lister		1	1	1	6		['Air Conditioning', 'Wash Closet']
168895852	RENTAL_RESIDENTIAL	1 Bedroom plus Study apartment in Gungahlin Square	$360 per week	2014-02-05 23:05:00		10 Hinder Street	Gungahlin	ACT	2912	-35.18600931	149.13711236	UNIT	102315	PrivateLister	Private Lister		1	1	2		17188	['Air Conditioning', 'Allocated Car Space', 'Reverse Cycle Heating', 'Study']
169025072	RENTAL_RESIDENTIAL		$550 per week	2014-05-02 01:51:44		(no street name provided)	Turner	ACT	2612	-35.26888161	149.12453534	APARTMENT	31315	PrivateLister	Private Lister		1	1	1		6378.4	['Reverse Cycle Heating']
169026692	RENTAL_RESIDENTIAL	FULLY FURNISHED ONE BEDROOM APARTMENT - AVAILABLE MAY 2016	$500 per week	2014-05-04 02:54:18		10/47 McMillan Crescent	Griffith	ACT	2603	-35.32555296	149.14868148	APARTMENT	43555	PrivateLister	Private Lister		1	1	2		5714	['Air Conditioning', 'Allocated Car Space', 'Fully Furnished', 'Reverse Cycle Heating', 'Self-contained Flat', 'Short Term', 'Short Term Lease', 'Study', 'Swimming Pool']
