ListingId	ListingDate	SaleDate	SaleAmount
177947277	2018-11-08 23:24:46	2020-03-05	$695,000
175006313	2018-02-28 13:00:00	2020-03-05	By Negotiation
177929278	2018-11-28 08:58:12	2020-03-05	$600,000
175698156	2018-08-23 04:02:07	2020-03-05	By Negotiation
175654904	2018-08-22 14:00:00	2020-03-05	$250,000
175255493	2018-05-02 06:02:07	2020-03-05	$285,000
176146207	2018-12-07 20:50:18	2020-03-05	$487,500
175797432	2018-09-17 05:52:39	2020-03-05	$985,000
174823843	2018-01-18 02:43:14	2020-03-05	$370,000
175981438	2018-10-30 05:40:40	2020-03-05	By Negotiation
175972631	2018-10-28 13:00:00	2020-03-05	$248,000
175942254	2018-10-23 00:29:35	2020-03-05	$1,125,000
175055175	2018-03-13 23:12:34	2020-03-05	$980,000
176180380	2018-12-16 13:00:00	2020-03-05	$1,413,740
177935842	2018-10-11 23:02:47	2020-03-05	$689,900
175863758	2018-10-03 06:30:37	2020-03-05	$240,000
175688006	2018-08-30 03:24:15	2020-03-05	$539,900
175672922	2018-08-16 22:50:29	2020-03-11	By Negotiation
175902984	2018-10-12 01:32:16	2020-03-11	$630,000
176145510	2018-12-06 04:21:13	2020-03-11	$925,000
176025333	2018-11-07 13:00:00	2020-03-11	$517,500
174859832	2018-01-30 04:53:00	2020-03-11	$315,000
175950174	2018-11-01 20:41:09	2020-03-11	$570,000
175978581	2018-11-01 19:42:34	2020-03-11	By Negotiation
